psbI_ex,0.0003*s,0.000145*s,0.000103*s,0.0002*s,0.000276*s,0.000104*s
psbF_ex,3e-13*s,1.19e-79*s,5.14e-06*s,4e-167*s,3.15e-06*s,1.76e-10*s
rpoB_ex,0.161s,0.169s,0.177s,0.165s,0.176s,0.172s
rps12_ex,0.009*s,0.0143*s,0.0139*s,0.016*s,0.0174*s,0.0185*s
psbC_ex,0.014*s,0.0149*s,0.0125*s,0.013*s,0.014*s,0.0149*s
rpoA_ex,0.03*s,0.0277*s,0.0262*s,0.028*s,0.0246*s,0.0232*s
rps2_ex,0.059s,0.0741s,0.0673s,0.035*s,0.0368*s,0.033*s
ndhJ_ex,0.001*s,0.00122*s,0.000756*s,0.001*s,0.000967*s,0.0016*s
rpl22_ex,0.019*s,0.0163*s,0.0186*s,0.013*s,0.0125*s,0.0155*s
ndhK_ex,0.333s,0.314s,0.333s,0.355s,0.358s,0.356s
psbL_ex,0.002*s,0.00278*s,0.00341*s,0.001*s,5.71e-05*s,0.000308*s
psaA_ex,0.252s,0.243s,0.262s,0.257s,0.252s,0.241s
atpB_ex,0.069s,0.0618s,0.059s,0.061s,0.0596s,0.0536s
rpl16_ex,0.034*s,0.0299*s,0.032*s,0.027*s,0.0305*s,0.0294*s
ndhE_ex,0.008*s,0.0102*s,0.00945*s,0.015*s,0.0163*s,0.0161*s
petD_ex,0.024*s,0.0268*s,0.0241*s,0.031*s,0.0286*s,0.0267*s
petB_ex,0.056s,0.0603s,0.0619s,0.052s,0.0535s,0.0535s
ndhG_ex,0.036*s,0.0418*s,0.0362*s,0.04*s,0.0358*s,0.0408*s
ndhB_ex,0.088s,0.0919s,0.0929s,0.074s,0.0733s,0.0698s
psbH_ex,0.053s,0.0448*s,0.0454*s,0.057s,0.0551s,0.0585s
psbM_ex,2e-08*s,4.48e-05*s,2.27e-05*s,0.001*s,7.29e-05*s,7.13e-05*s
matK_ex,0.009*s,0.0104*s,0.00743*s,0.006*s,0.00616*s,0.00733*s
ccsA_ex,0.082s,0.0902s,0.0958s,0.09s,0.0935s,0.0992s
psbB_ex,0.231s,0.226s,0.215s,0.264s,0.244s,0.261s
rpl23_ex,0.015*s,0.0169*s,0.0175*s,0.019*s,0.0173*s,0.0171*s
ndhH_ex,0.109s,0.116s,0.106s,0.122s,0.102s,0.113s
psbD_ex,6e-75*s,3.2e-116*s,4.34e-23*s,1e-66*s,0.000264*s,4.59e-52*s
ycf1_auto_ex,0.109s,0.118s,0.109s,0.113s,0.118s,0.117s
ndhI_ex,0.068s,0.0658s,0.0592s,0.118s,0.111s,0.122s
rps16_ex,0.069s,0.0716s,0.0597s,0.075s,0.0588s,0.068s
ycf4_ex,0.01*s,0.0104*s,0.00949*s,0.031*s,0.0312*s,0.0245*s
atpI_ex,0.095s,0.097s,0.107s,0.094s,0.105s,0.0926s
rpoC2_ex,0.218s,0.234s,0.231s,0.239s,0.229s,0.218s
atpF_ex,0.023*s,0.0317*s,0.0317*s,0.03*s,0.0284*s,0.0282*s
ycf3_ex,0.157s,0.141s,0.165s,0.199s,0.205s,0.202s
atpA_ex,0.081s,0.0848s,0.0744s,0.072s,0.078s,0.078s
psaB_ex,0.132s,0.122s,0.131s,0.216s,0.216s,0.228s
ycf2_auto_ex,0.024*s,0.0232*s,0.0242*s,0.022*s,0.0225*s,0.0195*s
psbA_ex,0.114s,0.129s,0.125s,0.064s,0.0665s,0.0668s
cemA_ex,0*s,0.17s,0.175s,0*s,0.181s,0.167s
rpl33_ex,0.001*s,0.000704*s,0.00172*s,0.001*s,0.000751*s,0.000673*s
